Genotype,Region,Population,DW_Site,Longitude,Latitude,Altitude,Density_2012,DBH_14,DBH_16_Int,Area_Growth_2016_cm2_year,Area_Growth_2014_cm2_year,Height_m_13,X2010_61_Bud_Flush,X2010_245_Bud_Set,X2010_259_Bud_Set,X2010_274_Bud_Set,Volume_m3,Root_GE,Stem_GE,Leaf_Lifespan
BESC-1,Columbia,Columbia,Willow Grove,-123.0516633,46.17080435,22.4,0.412973999,142.521474,174.6276291,34.25392073,31.95428335,10.33234145,2.02616587,3.321260166,3.928189331,5.047485204,0.149404812,NA,NA,254.2386443
BESC-10,Columbia,Columbia,Willow Grove,-123.0465309,46.16711305,22.4,0.38314963,145.123323,177.4346092,35.47943732,33.08442562,10.56445604,2.921232506,3.611298131,4.481212841,5.508778483,0.158814834,NA,NA,254.2437671
BESC-100,Columbia,Columbia,Rainier,-122.9851329,46.11224184,19.5,0.404475499,129.3906896,155.8938884,27.28237092,26.31440488,10.13338315,2.655912987,3.89393519,4.477592913,5.047854083,0.120869595,NA,NA,255.3199167
BESC-101,Columbia,Columbia,Rainier,-122.9864059,46.11206523,19.5,0.414201932,113.1904216,134.6693304,20.33694094,20.0046325,9.288377137,4.166221008,3.038889503,3.682927232,5.270453926,0.106709232,NA,NA,255.3201618
BESC-102,Columbia,Columbia,Rainier,-122.9870014,46.11250444,19.5,0.39542237,140.0062687,172.4006885,33.30323767,30.79343627,9.656807958,2.920144661,2.188435929,3.151101567,4.798731858,0.13637846,NA,NA,255.3195523
BESC-103,Columbia,Columbia,Rainier,-122.9878284,46.11250989,19.5,0.423776964,130.7138711,170.4318641,32.49964689,26.86216789,9.943932894,2.032894713,3.318989536,3.681768429,5.273312597,0.134117685,27.69343083,16.91860299,255.3195448
BESC-104,Columbia,Columbia,Rainier,-122.9878413,46.11216238,19.5,NA,146.140129,179.8783894,36.40171575,33.5567699,9.740273486,2.921143308,3.04152039,3.414292657,5.045235415,0.148921854,NA,NA,255.320027
BESC-105,Columbia,Columbia,Rainier,-122.988728,46.11253001,19.5,0.407154717,140.8119372,176.5254713,35.02067616,31.03923345,10.30733843,2.029131539,2.186511498,2.860657111,4.04371084,0.150740648,NA,NA,255.3195168
BESC-106,Columbia,Columbia,Rainier,-122.9890432,46.1129631,19.5,0.398456626,148.0441562,183.3217504,37.70745387,34.4740399,10.65596721,2.031562925,2.758076933,3.416331509,4.799101228,0.17106051,NA,NA,255.3189158
BESC-107,Columbia,Columbia,Rainier,-122.9896184,46.11337532,19.5,NA,145.0444084,180.1116365,36.40565539,33.04203135,10.39376648,2.659523748,3.040982439,3.414680409,5.04635025,0.156543185,28.41917459,12.20063383,255.3183437
BESC-108,Columbia,Columbia,Rainier,-122.9897512,46.11373348,19.5,NA,156.8212994,200.1539761,44.87544406,38.71823903,10.46823009,2.497775294,3.454884468,3.570665547,5.058275714,0.191095069,NA,NA,255.3178467
BESC-109,Columbia,Columbia,Rainier,-122.9901561,46.11418367,19.5,NA,143.3394197,181.2489832,36.91550682,32.36854418,10.17910206,3.765225277,2.654163452,3.21131326,4.742554882,0.159633271,NA,NA,255.3172219
BESC-11,Columbia,Columbia,Willow Grove,-123.0470295,46.1662218,22.4,0.40245916,153.0024659,187.5062867,39.441192,36.79137918,10.29915055,2.91991936,1.900637156,2.57844268,4.297167798,0.166787917,NA,NA,254.2450039
BESC-110,Columbia,Columbia,Rainier,-122.9902365,46.1148533,19.5,0.402878406,133.9069385,166.2245824,30.90793979,28.12595027,10.10888587,2.360087432,3.042192666,3.68627235,5.021543952,0.140481258,NA,NA,255.3162926
